"X","TLID","STATEFP","COUNTYFP","TFIDL","TFIDR","MTFCC","FULLNAME","SMID","LFROMADD","LTOADD","RFROMADD","RTOADD","ZIPL","ZIPR","Length","CLASS","RDTYPE","Main","DeadEnd","Cluster","unit_N","unit_N_orig","property_N","parcel_N","BG_ID_10","CT_ID_10"
8110,639988906,25,25,262440125,205871901,"S1400","Stanhope St",2758,"16","98","19","99",2116,2116,162.58,6,6,0,0,7,23,23,5,5,250250106001,25025010600
8111,85698022,25,25,205871899,205871901,"S1200","Clarendon St",2758,"134","198","127","179",2116,2116,58.29,3,3,1,0,0,0,0,0,0,250250707001,25025070700
8112,640253016,25,25,262942531,262947486,"S1400","Dartmouth St",0,"88","90"," "," ",2116,0,27.57,4,4,1,0,0,0,0,0,0,250250707002,25025070700
8113,633012860,25,25,257444585,205871921,"S1400","Montgomery St",2758,"62","98","99","1",2116,2116,101.54,5,5,0,0,6,48,48,31,16,250250706001,25025070600
8114,85700697,25,25,205871924,205871922,"S1400","Tremont St",2758,"632","650","629","647",2118,2118,78.09,4,4,1,0,7,72,51,37,11,250250706002,25025070600
8115,85698115,25,25,258863647,205871926,"S1400","W Dedham St",2758,"102","106","93","111",2118,2118,12.07,4,4,1,0,0,0,0,0,0,250250705003,25025070500
8116,85698118,25,25,226888659,205871926,"S1400","Ivanhoe St",2758,"2","98","5","99",2118,2118,43.84,5,5,0,0,0,0,0,0,0,250250705003,25025070500
8117,85698131,25,25,205870338,205871926,"S1400","Ivanhoe St",2758," "," ","1","3",0,2118,26.97,5,5,0,0,0,0,0,0,0,250250705003,25025070500
8118,85700973,25,25,260451973,205871935,"S1100","I- 93",0," "," "," "," ",0,0,10.62,1,1,1,0,0,0,0,0,0,250250612001,25025061200
8119,85734358,25,25,205870382,205871949,"S1400"," ",2758," "," "," "," ",0,0,41,4,4,1,0,0,0,0,0,0,250250801001,25025080100
8120,85701029,25,25,205870988,258863520,"S1400","Keegan St",2758," "," ","72","98",0,2119,56.38,5,5,0,0,0,0,0,0,0,250250801001,25025080100
8121,85701116,25,25,205871962,205871959,"S1400","Dennis St",2758,"30","32","23","31",2119,2119,61.39,5,5,0,0,4,128,4,8,8,250250906001,25025090600
8122,85701094,25,25,247714076,205871963,"S1400","George St",2758,"112","130","117","123",2119,2119,53.7,5,5,0,0,1,53,22,7,6,250250906002,25025090600
8123,85701093,25,25,205871957,205871963,"S1400","Clarence St",2758,"2","98","1","99",2119,2119,214.68,5,5,0,0,1,60,60,34,33,250250801001,25025080100
8124,85701211,25,25,205871515,205871967,"S1400","Magazine St",2758,"80","98","57","125",2119,2119,68.95,4,4,1,0,0,0,0,0,0,250250801001,25025080100
8125,85701246,25,25,205862296,205871968,"S1400","Massachusetts Ave",2758," "," "," "," ",0,0,31.32,4,4,1,0,0,0,0,0,0,250250801001,25025080100
8126,85701221,25,25,205871999,205871970,"S1400","Roswell St",2758,"1","99","2","98",2119,2119,81.47,5,5,0,0,1,3,3,1,1,250250906002,25025090600
8127,85701226,25,25,205871969,205871971,"S1400","Clifton St",2758,"2","8","1","15",2119,2119,56.07,5,5,0,0,1,10,10,5,5,250250906002,25025090600
8128,85701146,25,25,205871974,205871974,"S1400","Rand Pl",0,"1","99","2","98",2125,2125,60.01,5,5,0,1,2,2,2,2,2,250250904003,25025090400
8129,85701185,25,25,205870396,205871976,"S1400","Howard Ave",2758,"66","74","65","75",2125,2125,47.62,5,5,0,0,2,6,6,3,3,250250904003,25025090400
8130,85701263,25,25,205872002,205871981,"S1400","Clifton St",2758,"22","30","21","27",2119,2119,66.55,5,5,0,0,1,43,12,8,8,250250906002,25025090600
8131,633012788,25,25,258037877,205871986,"S1400","E Cottage St",2758,"2","6","1","7",2125,2125,38.68,5,5,0,0,0,0,0,0,0,250250906002,25025090600
8132,85701287,25,25,205871986,205871989,"S1400","Burgess St",2758,"2","44","1","49",2125,2125,73.26,5,5,0,0,0,0,0,0,0,250250913002,25025091300
8133,85722142,25,25,205870396,205871991,"S1400","Woodward Park St",2758,"8-00","8-98","1","99",2125,2125,132.95,5,5,0,0,1,69,34,14,14,250250904003,25025090400
8134,85701843,25,25,205871990,205871997,"S1400","Lingard St",2758,"12","98","51","99",2125,2125,96.24,5,5,0,0,6,5,5,5,1,250250914002,25025091400
8135,85701233,25,25,205872000,205872003,"S1400","Sherwood Ct",2758,"1","99","2","98",2119,2119,58.36,5,5,0,0,3,1,1,3,3,250250801001,25025080100
8136,85701252,25,25,262486829,205872005,"S1400","Norfolk Ave",2758,"272","276","269","281",2119,2119,53.75,5,5,0,0,3,2,2,5,5,250250906002,25025090600
8137,85731003,25,25,205868430,205872008,"S1400","Massachusetts Ave",2758," "," ","1285","1299",0,2118,59.08,4,4,1,0,0,0,0,0,0,250250907004,25025090700
8138,85701274,25,25,205872016,205872010,"S1400","Batchelder St",2758,"18","40","15","39",2119,2119,76.1,5,5,0,0,6,12,12,11,5,250250906002,25025090600
8139,85701316,25,25,205872008,205872012,"S1400","Norfolk Ave",2758,"324","398","323","399",2125,2125,100,5,5,0,0,4,18,7,9,9,250250913002,25025091300
