TLID,LST_weighted,LST_CT
85695429,0.525952275,0.702946909
85695001,0.595037611,0.702946909
85695430,0.566580895,0.702946909
85695007,0.595201345,0.702946909
85695004,0.921522814,0.702946909
85695387,0.588549795,0.702946909
85716348,0.567392036,0.702946909
85695320,0.584092336,0.702946909
85732887,0.429803969,0.702946909
85695469,0.518596839,0.702946909
85695317,0.585115782,0.702946909
85732888,0.320838836,0.702946909
85695471,0.496634843,0.702946909
613369438,0.76601188,0.702946909
85695470,0.5354741120000001,0.702946909
85695433,0.432107242,0.702946909
85695427,0.599259925,0.702946909
85695435,0.530247741,0.702946909
85735170,0.50111437,0.702946909
85727126,0.644528435,0.702946909
85695383,0.7408336190000001,0.702946909
613369439,0.702777302,0.702946909
85695386,0.581500324,0.702946909
85727021,0.7102948379999999,0.702946909
85727010,0.572866767,0.702946909
85727013,0.6375703389999999,0.702946909
85695382,0.7661225359999999,0.702946909
85695216,0.6013280289999999,0.702946909
85695424,0.56973269,0.702946909
85695466,0.546159459,0.702946909
85695302,0.854469852,0.702946909
85727006,0.640256319,0.702946909
85727115,0.682415683,0.702946909
85719145,0.561728082,0.702946909
85695319,0.7060791759999999,0.702946909
85695468,0.545079631,0.702946909
85735550,0.85077024,0.702946909
85695464,0.551448078,0.702946909
85695457,0.549619916,0.702946909
85727125,0.632864316,0.702946909
85695316,0.619620953,0.702946909
85695406,0.69971398,0.702946909
85695212,0.670502611,0.702946909
85741671,0.371103705,0.702946909
85695299,0.685712839,0.702946909
85695420,0.525294649,0.702946909
85695014,0.558819457,0.702946909
85695437,0.533603127,0.702946909
85695308,0.695656633,0.702946909
85694998,0.8686708940000001,0.702946909
85695300,0.651618116,0.702946909
85695460,0.548337472,0.702946909
85695298,0.766285523,0.702946909
639988088,0.40627516799999996,0.702946909
85695404,0.60307232,0.702946909
85727117,0.483699238,0.702946909
85695313,0.800542627,0.702946909
85695421,0.518514273,0.702946909
85695425,0.587662965,0.702946909
85695385,0.600722801,0.702946909
85716345,0.551019844,0.702946909
85694737,0.588549795,0.702946909
85727018,0.59835111,0.702946909
85735171,0.540345841,0.702946909
85695432,0.423883988,0.702946909
85719154,0.6995807479999999,0.702946909
85695315,0.637287212,0.702946909
85695434,0.476325823,0.702946909
85727017,0.613784974,0.702946909
85734683,0.5433398939999999,0.702946909
85723188,0.408483052,0.702946909
85695321,0.6171220860000001,0.702946909
85695328,0.686317526,0.702946909
85694945,0.61913207,0.702946909
85695477,0.515546184,0.702946909
85726989,0.752710219,0.702946909
636950033,0.585223067,0.702946909
636950032,0.586880572,0.702946909
85727105,0.649512184,0.702946909
85694951,0.614260799,0.702946909
85695322,0.5912293470000001,0.702946909
85695327,0.667441672,0.702946909
85727103,0.7159886520000001,0.702946909
85695325,0.589287076,0.702946909
85695025,0.691171944,0.702946909
85694976,0.693008656,0.702946909
85695409,0.6984014820000001,0.702946909
85718529,0.5534184010000001,0.702946909
